2019-03-24 23:46:28 INFO  InitiliazerClass:15 - negativeAuthtest1 == Starting==
2019-03-24 23:46:34 INFO  InitiliazerClass:21 - negativeAuthtest1 Pass ******
2019-03-24 23:46:34 INFO  InitiliazerClass:15 - negativeAuthtest2 == Starting==
2019-03-24 23:46:35 INFO  InitiliazerClass:21 - negativeAuthtest2 Pass ******
2019-03-24 23:46:35 INFO  InitiliazerClass:15 - AuthresponseCode == Starting==
2019-03-24 23:46:36 INFO  InitiliazerClass:21 - AuthresponseCode Pass ******
2019-03-24 23:46:36 INFO  InitiliazerClass:15 - AuthresponseContent == Starting==
2019-03-24 23:46:37 INFO  InitiliazerClass:21 - AuthresponseContent Pass ******
2019-03-24 23:46:37 INFO  InitiliazerClass:15 - getMyProfile == Starting==
2019-03-24 23:46:38 INFO  InitiliazerClass:21 - getMyProfile Pass ******
2019-03-24 23:46:38 INFO  InitiliazerClass:15 - setMyProfile == Starting==
2019-03-24 23:46:38 INFO  InitiliazerClass:21 - setMyProfile Pass ******
